application_id,user_id,age,income,requested_amount,term_months,purpose,application_status,created_at,decision_date,score,scoring_decision,overdue_count_at_application,active_loans_at_application,loan_id,loan_status,interest_rate,monthly_payment
26,30,63,224197,750000,24,Рефинансирование,MANUAL_REVIEW,2025-07-23,2025-07-24,444,MANUAL_REVIEW,0,2,,,,
27,30,63,224197,300000,6,На ремонт,DECLINED,2025-11-08,2025-11-09,440,MANUAL_REVIEW,0,2,,,,
28,31,61,146043,300000,6,Покупка автомобиля,DECLINED,2026-06-07,2026-06-07,416,MANUAL_REVIEW,0,2,,,,
29,32,49,146297,750000,36,Рефинансирование,DECLINED,2025-06-23,2025-06-24,452,MANUAL_REVIEW,0,1,,,,
30,32,49,146297,300000,36,Рефинансирование,DECLINED,2026-04-20,2026-04-20,466,MANUAL_REVIEW,0,1,,,,
31,33,52,70235,15000,12,Покупка техники,DECLINED,2025-07-09,2025-07-11,530,MANUAL_REVIEW,0,0,,,,
32,33,52,70235,50000,18,Рефинансирование,DECLINED,2025-12-28,2025-12-30,510,MANUAL_REVIEW,0,0,,,,
33,33,52,70235,750000,6,Покупка автомобиля,DISBURSED,2025-08-17,2025-08-18,504,MANUAL_REVIEW,0,0,12,CLOSED,21.05,132785.67
34,34,39,91059,1500000,60,Покупка автомобиля,DISBURSED,2025-08-04,2025-08-05,487,MANUAL_REVIEW,1,0,13,ACTIVE,15.24,35874.14
35,36,20,106325,1000000,48,Путешествие,DECLINED,2025-08-01,2025-08-01,362,DECLINE,0,2,,,,
36,37,43,238171,50000,48,Покупка техники,DISBURSED,2025-07-12,2025-07-14,640,MANUAL_REVIEW,0,1,14,ACTIVE,24.83,1653.12
37,38,25,72254,80000,18,Образование,DISBURSED,2025-06-09,2025-06-10,626,MANUAL_REVIEW,0,1,15,OVERDUE,17.91,5101.03
38,39,54,158087,2000000,36,Образование,DISBURSED,2025-06-23,2025-06-24,423,MANUAL_REVIEW,0,2,16,ACTIVE,16.39,70699.76
39,40,30,72407,1500000,60,Медицинские услуги,DECLINED,2025-08-21,2025-08-21,517,MANUAL_REVIEW,0,0,,,,
40,41,33,141444,750000,18,Свадьба,DISBURSED,2025-06-16,2025-06-18,533,MANUAL_REVIEW,1,1,17,ACTIVE,20.2,48644.54
41,44,35,121427,1000000,36,Покупка техники,DECLINED,2025-11-23,2025-11-25,608,MANUAL_REVIEW,0,1,,,,
42,45,55,239143,80000,60,Личные нужды,DECLINED,2025-08-31,2025-08-31,416,MANUAL_REVIEW,0,2,,,,
43,46,65,211489,500000,60,Путешествие,DISBURSED,2026-05-04,2026-05-04,400,MANUAL_REVIEW,0,1,18,ACTIVE,21.64,13707.31
44,52,63,123031,80000,24,Рефинансирование,DISBURSED,2026-05-26,2026-05-26,471,MANUAL_REVIEW,0,0,19,ACTIVE,22.95,4187.88
45,52,63,123031,30000,60,На ремонт,DISBURSED,2025-07-06,2025-07-06,418,MANUAL_REVIEW,0,0,20,ACTIVE,17.07,746.71
46,54,32,223925,1500000,24,На ремонт,DISBURSED,2025-11-19,2025-11-19,652,MANUAL_REVIEW,0,0,21,ACTIVE,20.42,76651.82
47,55,31,168865,1500000,36,Свадьба,DISBURSED,2025-10-09,2025-10-10,557,MANUAL_REVIEW,0,2,22,ACTIVE,20.03,55768.31
48,56,48,135054,1000000,60,Личные нужды,DISBURSED,2025-08-22,2025-08-22,472,MANUAL_REVIEW,0,0,23,ACTIVE,23.54,28501.59
49,57,20,160102,750000,12,На ремонт,DECLINED,2025-07-04,2025-07-06,318,DECLINE,1,1,,,,
50,57,20,160102,150000,12,Покупка техники,DECLINED,2025-09-17,2025-09-17,365,DECLINE,1,1,,,,
51,57,20,160102,30000,36,Личные нужды,DECLINED,2025-10-01,2025-10-03,376,DECLINE,1,1,,,,
52,58,30,91492,1500000,6,Покупка автомобиля,DECLINED,2026-01-05,2026-01-06,526,MANUAL_REVIEW,0,1,,,,
53,59,23,59972,15000,18,Личные нужды,DISBURSED,2025-09-30,2025-10-02,454,MANUAL_REVIEW,0,0,24,ACTIVE,17.2,951.38
54,60,36,41541,1500000,60,На ремонт,DECLINED,2025-11-14,2025-11-15,494,MANUAL_REVIEW,0,0,,,,
55,61,62,107731,100000,36,На ремонт,DECLINED,2025-12-15,2025-12-16,490,MANUAL_REVIEW,0,0,,,,
56,62,23,118578,2000000,6,Рефинансирование,DECLINED,2025-08-05,2025-08-05,390,DECLINE,0,0,,,,
57,64,30,113876,50000,24,Путешествие,DECLINED,2025-07-17,2025-07-19,665,MANUAL_REVIEW,0,0,,,,
58,64,30,113876,30000,48,Покупка техники,DECLINED,2025-12-01,2025-12-02,588,MANUAL_REVIEW,0,0,,,,
59,65,24,110962,1000000,18,Образование,MANUAL_REVIEW,2026-01-31,2026-02-02,454,MANUAL_REVIEW,0,0,,,,
60,66,45,36103,1500000,60,На ремонт,DECLINED,2026-01-07,2026-01-08,537,MANUAL_REVIEW,0,1,,,,
61,66,45,36103,1000000,48,На ремонт,MANUAL_REVIEW,2025-12-11,2025-12-11,554,MANUAL_REVIEW,0,1,,,,
62,69,33,229083,1000000,18,Образование,MANUAL_REVIEW,2026-01-02,2026-01-02,559,MANUAL_REVIEW,1,0,,,,
63,70,45,122521,300000,60,Рефинансирование,DISBURSED,2026-05-28,2026-05-30,629,MANUAL_REVIEW,0,0,25,ACTIVE,22.23,8324.95
64,71,40,90434,30000,6,Медицинские услуги,DECLINED,2025-06-25,2025-06-27,561,MANUAL_REVIEW,0,2,,,,
65,72,26,228152,100000,48,Личные нужды,MANUAL_REVIEW,2025-11-20,2025-11-21,568,MANUAL_REVIEW,0,2,,,,
66,73,28,143500,50000,48,Покупка автомобиля,DECLINED,2025-11-21,2025-11-22,415,MANUAL_REVIEW,2,0,,,,
67,74,43,248179,50000,48,Свадьба,DECLINED,2025-07-08,2025-07-10,627,MANUAL_REVIEW,0,0,,,,
68,77,62,31890,150000,36,Образование,DECLINED,2025-09-16,2025-09-18,423,MANUAL_REVIEW,0,1,,,,
69,77,62,31890,30000,6,Медицинские услуги,DECLINED,2026-01-29,2026-01-31,426,MANUAL_REVIEW,0,1,,,,
70,78,26,44333,50000,18,Покупка техники,DECLINED,2025-08-12,2025-08-14,357,DECLINE,2,2,,,,
71,78,26,44333,50000,60,Медицинские услуги,DECLINED,2025-06-02,2025-06-02,370,DECLINE,2,2,,,,
72,81,25,67458,150000,48,Покупка автомобиля,MANUAL_REVIEW,2026-03-13,2026-03-14,613,MANUAL_REVIEW,0,0,,,,
73,82,20,96945,50000,48,Покупка техники,MANUAL_REVIEW,2026-02-01,2026-02-01,413,MANUAL_REVIEW,0,2,,,,
74,82,20,96945,50000,36,На ремонт,DECLINED,2025-09-12,2025-09-13,378,DECLINE,0,2,,,,
75,85,54,227118,750000,18,На ремонт,MANUAL_REVIEW,2025-08-07,2025-08-09,489,MANUAL_REVIEW,0,1,,,,
76,85,54,227118,1000000,36,Медицинские услуги,DECLINED,2026-02-08,2026-02-09,488,MANUAL_REVIEW,0,1,,,,
77,85,54,227118,300000,6,Медицинские услуги,DISBURSED,2025-07-19,2025-07-21,482,MANUAL_REVIEW,0,1,26,CLOSED,22.1,53271.92
78,86,29,184032,50000,18,Образование,DECLINED,2025-07-04,2025-07-06,626,MANUAL_REVIEW,0,1,,,,
79,87,22,52835,150000,12,Свадьба,DECLINED,2025-11-10,2025-11-12,425,MANUAL_REVIEW,0,0,,,,
80,87,22,52835,30000,6,Свадьба,MANUAL_REVIEW,2026-02-08,2026-02-10,459,MANUAL_REVIEW,0,0,,,,
81,89,59,214039,150000,12,Личные нужды,DECLINED,2025-06-11,2025-06-13,342,DECLINE,1,1,,,,
82,89,59,214039,100000,24,Личные нужды,DECLINED,2026-06-25,2026-06-27,333,DECLINE,1,1,,,,
83,90,31,37755,15000,18,Покупка техники,DECLINED,2025-10-26,2025-10-27,633,MANUAL_REVIEW,0,1,,,,
84,92,37,215711,150000,60,На ремонт,DISBURSED,2025-12-12,2025-12-14,501,MANUAL_REVIEW,1,1,27,ACTIVE,22.54,4189.02
85,93,22,170024,100000,6,Путешествие,DECLINED,2025-12-21,2025-12-23,468,MANUAL_REVIEW,0,1,,,,
86,95,34,50344,200000,18,Свадьба,DECLINED,2026-01-14,2026-01-14,601,MANUAL_REVIEW,0,2,,,,
87,96,37,35552,15000,6,Личные нужды,DECLINED,2026-04-27,2026-04-29,599,MANUAL_REVIEW,0,1,,,,
88,96,37,35552,750000,36,Образование,MANUAL_REVIEW,2026-04-26,2026-04-27,586,MANUAL_REVIEW,0,1,,,,
89,100,47,164549,300000,48,Рефинансирование,DECLINED,2025-09-21,2025-09-21,476,MANUAL_REVIEW,0,1,,,,
90,100,47,164549,1000000,6,Личные нужды,DECLINED,2025-12-05,2025-12-05,511,MANUAL_REVIEW,0,1,,,,
91,103,53,38462,750000,24,Образование,MANUAL_REVIEW,2026-04-10,2026-04-12,522,MANUAL_REVIEW,0,0,,,,
92,103,53,38462,1000000,12,На ремонт,DISBURSED,2026-06-20,2026-06-21,515,MANUAL_REVIEW,0,0,28,OVERDUE,19.46,92376.26
93,103,53,38462,150000,24,Покупка техники,DISBURSED,2026-04-20,2026-04-22,519,MANUAL_REVIEW,0,0,29,ACTIVE,21.28,7728.49
94,104,32,247396,1500000,48,Покупка техники,MANUAL_REVIEW,2026-06-05,2026-06-06,512,MANUAL_REVIEW,0,2,,,,
95,104,32,247396,1000000,24,Личные нужды,DECLINED,2025-10-10,2025-10-10,592,MANUAL_REVIEW,0,2,,,,
96,105,41,117874,1000000,60,Свадьба,MANUAL_REVIEW,2025-07-02,2025-07-04,503,MANUAL_REVIEW,0,2,,,,
97,105,41,117874,100000,36,Свадьба,DECLINED,2026-02-04,2026-02-05,571,MANUAL_REVIEW,0,2,,,,
98,107,40,233510,1500000,18,Медицинские услуги,MANUAL_REVIEW,2026-02-09,2026-02-11,471,MANUAL_REVIEW,1,1,,,,
99,107,40,233510,200000,60,Путешествие,DECLINED,2026-01-11,2026-01-11,476,MANUAL_REVIEW,1,1,,,,
100,109,59,196959,100000,48,Путешествие,DISBURSED,2025-11-03,2025-11-05,412,MANUAL_REVIEW,0,1,30,ACTIVE,15.06,2786.12
101,109,59,196959,500000,48,Свадьба,DISBURSED,2026-02-17,2026-02-18,402,MANUAL_REVIEW,0,1,31,ACTIVE,19.92,15193.88
102,110,39,84158,1000000,12,Личные нужды,DECLINED,2026-06-10,2026-06-11,433,MANUAL_REVIEW,1,2,,,,
103,110,39,84158,1000000,60,Личные нужды,DECLINED,2026-04-27,2026-04-29,373,DECLINE,1,2,,,,
104,111,58,109192,100000,48,Покупка техники,MANUAL_REVIEW,2026-06-06,2026-06-07,468,MANUAL_REVIEW,0,0,,,,
105,114,59,34526,200000,60,На ремонт,DECLINED,2025-10-26,2025-10-26,381,DECLINE,0,0,,,,
106,115,63,112829,100000,24,Образование,MANUAL_REVIEW,2025-08-12,2025-08-14,491,MANUAL_REVIEW,0,0,,,,
107,117,24,75544,2000000,6,Образование,DECLINED,2026-01-18,2026-01-19,330,DECLINE,0,1,,,,
108,119,29,223517,80000,12,Рефинансирование,DECLINED,2025-08-28,2025-08-30,645,MANUAL_REVIEW,0,1,,,,
109,119,29,223517,200000,48,Рефинансирование,DISBURSED,2026-05-19,2026-05-21,593,MANUAL_REVIEW,0,1,32,ACTIVE,20.14,6101.0
110,119,29,223517,80000,6,Путешествие,DISBURSED,2026-02-23,2026-02-25,643,MANUAL_REVIEW,0,1,33,ACTIVE,20.16,14128.22
111,120,47,175176,15000,18,Покупка автомобиля,DISBURSED,2025-08-06,2025-08-06,541,MANUAL_REVIEW,0,0,34,ACTIVE,24.49,1004.13
112,120,47,175176,100000,12,Путешествие,DECLINED,2025-12-11,2025-12-11,559,MANUAL_REVIEW,0,0,,,,
113,120,47,175176,750000,12,Личные нужды,DECLINED,2026-03-16,2026-03-16,500,MANUAL_REVIEW,0,0,,,,
